CountyName,TimeStamp,ConfirmedCovidCases
Waterford,2020-04-04,49
Westmeath,2020-04-04,107
Wexford,2020-04-04,21
Wicklow,2020-04-04,142
Carlow,2020-04-05,12
Cavan,2020-04-05,123
Clare,2020-04-05,65
Cork,2020-04-05,421
Donegal,2020-04-05,114
Dublin,2020-04-05,3061
Galway,2020-04-05,128
Kerry,2020-04-05,117
Kildare,2020-04-05,200
Kilkenny,2020-04-05,79
Laois,2020-04-05,31
Leitrim,2020-04-05,18
Limerick,2020-04-05,143
Longford,2020-04-05,25
Louth,2020-04-05,85
Mayo,2020-04-05,126
Meath,2020-04-05,168
Monaghan,2020-04-05,58
Offaly,2020-04-05,73
Roscommon,2020-04-05,22
Sligo,2020-04-05,28
Tipperary,2020-04-05,133
Waterford,2020-04-05,49
Westmeath,2020-04-05,121
Wexford,2020-04-05,22
Wicklow,2020-04-05,171
Carlow,2020-04-06,15
Cavan,2020-04-06,129
Clare,2020-04-06,66
Cork,2020-04-06,431
Donegal,2020-04-06,120
Dublin,2020-04-06,3268
Galway,2020-04-06,134
Kerry,2020-04-06,122
Kildare,2020-04-06,233
Kilkenny,2020-04-06,88
Laois,2020-04-06,34
Leitrim,2020-04-06,20
Limerick,2020-04-06,160
Longford,2020-04-06,35
Louth,2020-04-06,96
Mayo,2020-04-06,130
Meath,2020-04-06,183
Monaghan,2020-04-06,62
Offaly,2020-04-06,77
Roscommon,2020-04-06,22
Sligo,2020-04-06,28
Tipperary,2020-04-06,137
Waterford,2020-04-06,52
Westmeath,2020-04-06,134
